sample_id,absolute_shape,delta_shape,delta0_x,delta0_y,mode_a_ade,mode_a_fde,mode_a_max_error,mode_b_ade,mode_b_fde,mode_b_max_error,mode_c_ade,mode_c_fde,mode_c_max_error,mode_a_minus_c_mean_abs_error,mode_a_minus_c_max_abs_error,status
sample_000000,"(224, 2)","(224, 2)",0.0,0.0,0.0,0.0,0.0,11.692311814471479,0.0,26.44040090467624,1.719746018867592e-13,6.915300366811402e-13,6.915300366811402e-13,9.846092195532817e-14,6.821210263296962e-13,ok
sample_000001,"(224, 2)","(224, 2)",0.0,0.0,0.0,0.0,0.0,10.345706209537942,22.441954014746145,24.72812568716028,0.0,0.0,0.0,0.0,0.0,ok
sample_000002,"(224, 2)","(224, 2)",0.0,0.0,0.0,0.0,0.0,8.897730972438863,8.36737712786993,29.90468190768792,9.03404335466413e-14,6.821210263296962e-13,6.821210263296962e-13,4.517021677332065e-14,6.821210263296962e-13,ok
sample_000003,"(224, 2)","(224, 2)",0.0,0.0,0.0,0.0,0.0,8.60355247327358,5.400148146116083,28.12338884274087,0.0,0.0,0.0,0.0,0.0,ok
sample_000004,"(224, 2)","(224, 2)",0.0,0.0,0.0,0.0,0.0,10.001621466570972,7.083509017429168,26.044149055018178,3.6768915509562686e-14,4.263256414560601e-13,4.263256414560601e-13,2.023777970602428e-14,4.263256414560601e-13,ok
sample_000005,"(224, 2)","(224, 2)",0.0,0.0,0.0,0.0,0.0,10.03127374787944,23.568251950452314,24.279909390275613,7.122588248481044e-14,4.687428401686771e-13,4.687428401686771e-13,3.7557258890176723e-14,4.547473508864641e-13,ok
sample_000006,"(224, 2)","(224, 2)",0.0,0.0,0.0,0.0,0.0,8.058872003799257,0.0,22.326531302466005,8.145864934964005e-14,2.2737367544323206e-13,2.2737367544323206e-13,4.0729324674820026e-14,2.2737367544323206e-13,ok
sample_000007,"(224, 2)","(224, 2)",0.0,0.0,0.0,0.0,0.0,8.571599359376016,22.06949251795306,23.12277016276378,0.0,0.0,0.0,0.0,0.0,ok
sample_000008,"(224, 2)","(224, 2)",0.0,0.0,0.0,0.0,0.0,7.637250844416725,0.0,28.709087411480017,1.096265935172726e-13,2.2737367544323206e-13,4.547473508864641e-13,5.48132967586363e-14,4.547473508864641e-13,ok
sample_000009,"(224, 2)","(224, 2)",0.0,0.0,0.0,0.0,0.0,10.858472228816916,17.125142335174925,33.59360058106293,9.287808617435595e-14,1.1368683772161603e-13,7.958078640513122e-13,4.6439043087177976e-14,7.958078640513122e-13,ok
sample_000010,"(224, 2)","(224, 2)",0.0,0.0,0.0,0.0,0.0,7.98603401882113,19.412792174233978,25.566127982156388,5.075305255429287e-16,0.0,2.842170943040401e-14,2.5376526277146434e-16,2.842170943040401e-14,ok
sample_000011,"(224, 2)","(224, 2)",0.0,0.0,0.0,0.0,0.0,10.404196147289598,12.1409884276363,24.775360744094087,1.8956372989337627e-13,1.7053025658242404e-13,6.821210263296962e-13,9.605015195899925e-14,6.821210263296962e-13,ok
sample_000012,"(224, 2)","(224, 2)",0.0,0.0,0.0,0.0,0.0,9.053002311389081,19.11177909039345,24.8008467597378,1.45915026093592e-14,0.0,5.684341886080802e-14,7.2957513046796e-15,5.684341886080802e-14,ok
sample_000013,"(224, 2)","(224, 2)",0.0,0.0,0.0,0.0,0.0,10.650716348560424,14.373381648032604,24.944332021523405,2.905612258733267e-14,1.1368683772161603e-13,1.7053025658242404e-13,1.4528061293666335e-14,1.7053025658242404e-13,ok
sample_000014,"(224, 2)","(224, 2)",0.0,0.0,0.0,0.0,0.0,9.154573025418395,17.885843564115135,29.16834585642458,2.3156080227896123e-15,0.0,5.684341886080802e-14,1.1578040113948061e-15,5.684341886080802e-14,ok
sample_000015,"(224, 2)","(224, 2)",0.0,0.0,0.0,0.0,0.0,8.811568879763373,11.858435815907612,25.173845554463867,0.0,0.0,0.0,0.0,0.0,ok
