sample_id,delta_consistency_mse,delta_consistency_max_error,delta_consistency_error,absolute_shape,delta_shape,status
sample_000000,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000001,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000002,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000003,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000004,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000005,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000006,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000007,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000008,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000009,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000010,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000011,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000012,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000013,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000014,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000015,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000016,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000017,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000018,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000019,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000020,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000021,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000022,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000023,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000024,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000025,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000026,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000027,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000028,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000029,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000030,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000031,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000032,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
