sample_id,vehicle_id,original_num_points,image_path,label_delta_displacement_path,label_absolute_path,start_path,encoding_method,coordinate_type,delta_x_min,delta_x_max,delta_y_min,delta_y_max,absolute_x_min,absolute_x_max,absolute_y_min,absolute_y_max,valid_or_skipped,skip_reason
sample_000000,car6,224,images/sample_000000.png,labels_delta_displacement/sample_000000.npy,labels_absolute/sample_000000.npy,starts/sample_000000.npy,hilbert_gasf_gadf_mtf_no_speed_delta_displacement_xy,delta_displacement_xy,-34.42000000000007,34.38999999999987,-35.88000000000011,33.97,2.32,2953.0,7.41,1783.03,valid,
sample_000001,car13,224,images/sample_000001.png,labels_delta_displacement/sample_000001.npy,labels_absolute/sample_000001.npy,starts/sample_000001.npy,hilbert_gasf_gadf_mtf_no_speed_delta_displacement_xy,delta_displacement_xy,-34.42000000000007,34.38999999999987,-35.88000000000011,33.97,2.32,2953.0,7.41,1783.03,valid,
sample_000002,car18,224,images/sample_000002.png,labels_delta_displacement/sample_000002.npy,labels_absolute/sample_000002.npy,starts/sample_000002.npy,hilbert_gasf_gadf_mtf_no_speed_delta_displacement_xy,delta_displacement_xy,-34.42000000000007,34.38999999999987,-35.88000000000011,33.97,2.32,2953.0,7.41,1783.03,valid,
sample_000003,car19,224,images/sample_000003.png,labels_delta_displacement/sample_000003.npy,labels_absolute/sample_000003.npy,starts/sample_000003.npy,hilbert_gasf_gadf_mtf_no_speed_delta_displacement_xy,delta_displacement_xy,-34.42000000000007,34.38999999999987,-35.88000000000011,33.97,2.32,2953.0,7.41,1783.03,valid,
sample_000004,car20,224,images/sample_000004.png,labels_delta_displacement/sample_000004.npy,labels_absolute/sample_000004.npy,starts/sample_000004.npy,hilbert_gasf_gadf_mtf_no_speed_delta_displacement_xy,delta_displacement_xy,-34.42000000000007,34.38999999999987,-35.88000000000011,33.97,2.32,2953.0,7.41,1783.03,valid,
sample_000005,car21,224,images/sample_000005.png,labels_delta_displacement/sample_000005.npy,labels_absolute/sample_000005.npy,starts/sample_000005.npy,hilbert_gasf_gadf_mtf_no_speed_delta_displacement_xy,delta_displacement_xy,-34.42000000000007,34.38999999999987,-35.88000000000011,33.97,2.32,2953.0,7.41,1783.03,valid,
sample_000006,car22,224,images/sample_000006.png,labels_delta_displacement/sample_000006.npy,labels_absolute/sample_000006.npy,starts/sample_000006.npy,hilbert_gasf_gadf_mtf_no_speed_delta_displacement_xy,delta_displacement_xy,-34.42000000000007,34.38999999999987,-35.88000000000011,33.97,2.32,2953.0,7.41,1783.03,valid,
sample_000007,car23,224,images/sample_000007.png,labels_delta_displacement/sample_000007.npy,labels_absolute/sample_000007.npy,starts/sample_000007.npy,hilbert_gasf_gadf_mtf_no_speed_delta_displacement_xy,delta_displacement_xy,-34.42000000000007,34.38999999999987,-35.88000000000011,33.97,2.32,2953.0,7.41,1783.03,valid,
sample_000008,car31,224,images/sample_000008.png,labels_delta_displacement/sample_000008.npy,labels_absolute/sample_000008.npy,starts/sample_000008.npy,hilbert_gasf_gadf_mtf_no_speed_delta_displacement_xy,delta_displacement_xy,-34.42000000000007,34.38999999999987,-35.88000000000011,33.97,2.32,2953.0,7.41,1783.03,valid,
sample_000009,car32,224,images/sample_000009.png,labels_delta_displacement/sample_000009.npy,labels_absolute/sample_000009.npy,starts/sample_000009.npy,hilbert_gasf_gadf_mtf_no_speed_delta_displacement_xy,delta_displacement_xy,-34.42000000000007,34.38999999999987,-35.88000000000011,33.97,2.32,2953.0,7.41,1783.03,valid,
sample_000010,car33,224,images/sample_000010.png,labels_delta_displacement/sample_000010.npy,labels_absolute/sample_000010.npy,starts/sample_000010.npy,hilbert_gasf_gadf_mtf_no_speed_delta_displacement_xy,delta_displacement_xy,-34.42000000000007,34.38999999999987,-35.88000000000011,33.97,2.32,2953.0,7.41,1783.03,valid,
sample_000011,car35,224,images/sample_000011.png,labels_delta_displacement/sample_000011.npy,labels_absolute/sample_000011.npy,starts/sample_000011.npy,hilbert_gasf_gadf_mtf_no_speed_delta_displacement_xy,delta_displacement_xy,-34.42000000000007,34.38999999999987,-35.88000000000011,33.97,2.32,2953.0,7.41,1783.03,valid,
sample_000012,car37,224,images/sample_000012.png,labels_delta_displacement/sample_000012.npy,labels_absolute/sample_000012.npy,starts/sample_000012.npy,hilbert_gasf_gadf_mtf_no_speed_delta_displacement_xy,delta_displacement_xy,-34.42000000000007,34.38999999999987,-35.88000000000011,33.97,2.32,2953.0,7.41,1783.03,valid,
sample_000013,car40,224,images/sample_000013.png,labels_delta_displacement/sample_000013.npy,labels_absolute/sample_000013.npy,starts/sample_000013.npy,hilbert_gasf_gadf_mtf_no_speed_delta_displacement_xy,delta_displacement_xy,-34.42000000000007,34.38999999999987,-35.88000000000011,33.97,2.32,2953.0,7.41,1783.03,valid,
sample_000014,car42,224,images/sample_000014.png,labels_delta_displacement/sample_000014.npy,labels_absolute/sample_000014.npy,starts/sample_000014.npy,hilbert_gasf_gadf_mtf_no_speed_delta_displacement_xy,delta_displacement_xy,-34.42000000000007,34.38999999999987,-35.88000000000011,33.97,2.32,2953.0,7.41,1783.03,valid,
