sample_id,image_path,array_path,label_delta_displacement_path,label_absolute_path,start_path,encoding_method,coordinate_type,normalization_range,sign_lost_from_gasf_diagonal,initial_x,initial_y,delta_was_prepended_with_zero,dx_min,dx_max,dy_min,dy_max,x_min,x_max,y_min,y_max,valid_or_skipped,skip_reason
sample_000000,images/sample_000000.png,arrays/sample_000000.npy,labels_delta_displacement/sample_000000.npy,labels_absolute/sample_000000.npy,starts/sample_000000.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,2385.92,1783.03,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000001,images/sample_000001.png,arrays/sample_000001.npy,labels_delta_displacement/sample_000001.npy,labels_absolute/sample_000001.npy,starts/sample_000001.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,1132.05,1662.35,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000002,images/sample_000002.png,arrays/sample_000002.npy,labels_delta_displacement/sample_000002.npy,labels_absolute/sample_000002.npy,starts/sample_000002.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,1860.31,8.72,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000003,images/sample_000003.png,arrays/sample_000003.npy,labels_delta_displacement/sample_000003.npy,labels_absolute/sample_000003.npy,starts/sample_000003.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,33.5,849.25,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000004,images/sample_000004.png,arrays/sample_000004.npy,labels_delta_displacement/sample_000004.npy,labels_absolute/sample_000004.npy,starts/sample_000004.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,336.45,1629.38,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000005,images/sample_000005.png,arrays/sample_000005.npy,labels_delta_displacement/sample_000005.npy,labels_absolute/sample_000005.npy,starts/sample_000005.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,560.24,1546.95,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000006,images/sample_000006.png,arrays/sample_000006.npy,labels_delta_displacement/sample_000006.npy,labels_absolute/sample_000006.npy,starts/sample_000006.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,118.59,612.5,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000007,images/sample_000007.png,arrays/sample_000007.npy,labels_delta_displacement/sample_000007.npy,labels_absolute/sample_000007.npy,starts/sample_000007.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,1170.24,1730.18,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000008,images/sample_000008.png,arrays/sample_000008.npy,labels_delta_displacement/sample_000008.npy,labels_absolute/sample_000008.npy,starts/sample_000008.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,2022.41,1776.78,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000009,images/sample_000009.png,arrays/sample_000009.npy,labels_delta_displacement/sample_000009.npy,labels_absolute/sample_000009.npy,starts/sample_000009.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,2482.14,1768.42,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000010,images/sample_000010.png,arrays/sample_000010.npy,labels_delta_displacement/sample_000010.npy,labels_absolute/sample_000010.npy,starts/sample_000010.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,602.62,438.6,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000011,images/sample_000011.png,arrays/sample_000011.npy,labels_delta_displacement/sample_000011.npy,labels_absolute/sample_000011.npy,starts/sample_000011.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,1809.7,1611.45,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000012,images/sample_000012.png,arrays/sample_000012.npy,labels_delta_displacement/sample_000012.npy,labels_absolute/sample_000012.npy,starts/sample_000012.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,580.69,19.21,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000013,images/sample_000013.png,arrays/sample_000013.npy,labels_delta_displacement/sample_000013.npy,labels_absolute/sample_000013.npy,starts/sample_000013.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,887.89,186.53,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000014,images/sample_000014.png,arrays/sample_000014.npy,labels_delta_displacement/sample_000014.npy,labels_absolute/sample_000014.npy,starts/sample_000014.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,526.98,98.47,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000015,images/sample_000015.png,arrays/sample_000015.npy,labels_delta_displacement/sample_000015.npy,labels_absolute/sample_000015.npy,starts/sample_000015.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,481.98,1596.73,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000016,images/sample_000016.png,arrays/sample_000016.npy,labels_delta_displacement/sample_000016.npy,labels_absolute/sample_000016.npy,starts/sample_000016.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,2649.88,1597.27,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000017,images/sample_000017.png,arrays/sample_000017.npy,labels_delta_displacement/sample_000017.npy,labels_absolute/sample_000017.npy,starts/sample_000017.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,197.94,331.48,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000018,images/sample_000018.png,arrays/sample_000018.npy,labels_delta_displacement/sample_000018.npy,labels_absolute/sample_000018.npy,starts/sample_000018.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,434.88,457.29,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000019,images/sample_000019.png,arrays/sample_000019.npy,labels_delta_displacement/sample_000019.npy,labels_absolute/sample_000019.npy,starts/sample_000019.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,463.85,845.64,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
