sample_id,abs_diag_mae_dx,abs_diag_max_error_dx,abs_diag_mae_dy,abs_diag_max_error_dy,positive_branch_mae_dx,positive_branch_max_error_dx,positive_branch_mae_dy,positive_branch_max_error_dy,oracle_signed_mae_dx,oracle_signed_max_error_dx,oracle_signed_mae_dy,oracle_signed_max_error_dy,fraction_negative_dx,fraction_negative_dy,fraction_positive_dx,fraction_positive_dy,sign_lost,strict_signed_diagonal_invertible,status
sample_000000,2.8320388062305143e-09,1.9803869100165628e-08,1.822150847632209e-09,1.932761428680152e-08,0.4485254429698267,1.5058857543368904,0.2764128760683223,1.4848883170995082,2.8320388062305143e-09,1.9803869100165628e-08,1.822150847632209e-09,1.932761428680152e-08,0.5803571428571429,0.6919642857142857,0.41964285714285715,0.3080357142857143,True,False,not_strictly_invertible_from_diagonal
sample_000001,2.6875178740260523e-09,1.4312170004693314e-08,1.1595775435429257e-09,1.2140172422903106e-08,0.06585421791333357,1.365208536975085,0.11889379105350516,1.4002044047311881,2.6875178740260523e-09,1.4312170004693314e-08,1.1595775435429257e-09,1.2140172422903106e-08,0.10714285714285714,0.25,0.8928571428571429,0.75,True,False,not_strictly_invertible_from_diagonal
sample_000002,1.839155461995037e-09,1.7527154949625867e-08,1.6566151286822835e-09,1.2758593626038817e-08,0.3130358959210046,1.7314343749593277,0.03325172743802882,1.293911510407406,1.839155461995037e-09,1.7527154949625867e-08,1.6566151286822835e-09,1.2758593626038817e-08,0.6339285714285714,0.23660714285714285,0.36607142857142855,0.7633928571428571,True,False,not_strictly_invertible_from_diagonal
sample_000003,1.7295942362866445e-09,1.6172207129017124e-08,1.6928708816931495e-09,1.8493981346345834e-08,0.057573132318263734,0.5821828209707562,0.04839731711211394,0.9791210388022051,1.7295942362866445e-09,1.6172207129017124e-08,1.6928708816931495e-09,1.8493981346345834e-08,0.3125,0.10267857142857142,0.6875,0.8973214285714286,True,False,not_strictly_invertible_from_diagonal
sample_000004,1.4871573891251568e-09,1.1839895064369443e-08,2.0895093954601623e-09,1.7748885139390325e-08,0.05123710348032468,1.1204766820201175,0.37110474910166025,1.4772959531705103,1.4871573891251568e-09,1.1839895064369443e-08,2.0895093954601623e-09,1.7748885139390325e-08,0.12946428571428573,0.5357142857142857,0.8705357142857143,0.4642857142857143,True,False,not_strictly_invertible_from_diagonal
sample_000005,1.8642871774559674e-09,1.3259477960048116e-08,1.8861288756816068e-09,1.3453088865134077e-08,0.11750005339403423,1.3826478736321874,0.3179244104173016,1.3540662848300258,1.8642871774559674e-09,1.3259477960048116e-08,1.8861288756816068e-09,1.3453088865134077e-08,0.16964285714285715,0.5982142857142857,0.8303571428571429,0.4017857142857143,True,False,not_strictly_invertible_from_diagonal
sample_000006,1.966062452705664e-09,1.2516046199451125e-08,8.571377121223774e-10,8.072488066890315e-09,0.008778055353192335,0.3258247351691477,0.07626634803253815,0.8418747246624496,1.966062452705664e-09,1.2516046199451125e-08,8.571377121223774e-10,8.072488066890315e-09,0.07589285714285714,0.27232142857142855,0.9241071428571429,0.7276785714285714,True,False,not_strictly_invertible_from_diagonal
sample_000007,1.9628686125523974e-09,1.453711329091334e-08,1.2402012427134819e-09,1.2364613555249093e-08,0.009476147370348919,0.22293271205553572,0.12331049406757552,1.2956636065389069,1.9628686125523974e-09,1.453711329091334e-08,1.2402012427134819e-09,1.2364613555249093e-08,0.09375,0.21428571428571427,0.90625,0.7857142857142857,True,False,not_strictly_invertible_from_diagonal
sample_000008,8.633106649205201e-10,1.9188636124489733e-08,1.9103186135892747e-09,1.9258395655974425e-08,0.13599300390770236,1.5093736300770566,0.31131499943228114,1.6279748775556235,8.633106649205201e-10,1.9188636124489733e-08,1.9103186135892747e-09,1.9258395655974425e-08,0.16964285714285715,0.5,0.8303571428571429,0.5,True,False,not_strictly_invertible_from_diagonal
sample_000009,2.5998057773765145e-09,1.6255544688092982e-08,1.0727297404524886e-09,1.0522871796148081e-08,0.5164401979239029,1.9267548374323327,0.14266811666720441,1.5269382326000676,2.5998057773765145e-09,1.6255544688092982e-08,1.0727297404524886e-09,1.0522871796148081e-08,0.6875,0.5491071428571429,0.3125,0.45089285714285715,True,False,not_strictly_invertible_from_diagonal
sample_000010,1.3535111489909283e-09,9.123556299339697e-09,1.8287396773773342e-09,1.2408874816571824e-08,0.15762736989019668,1.009446296197606,0.050357978740798,0.7081325699427294,1.3535111489909283e-09,9.123556299339697e-09,1.8287396773773342e-09,1.2408874816571824e-08,0.46875,0.12946428571428573,0.53125,0.8705357142857143,True,False,not_strictly_invertible_from_diagonal
sample_000011,1.80348668173179e-09,1.3294250922335493e-08,1.813875111646498e-09,1.3736480619641611e-08,0.3178641499275545,1.411132098665585,0.3044761490630558,1.391444012527919,1.80348668173179e-09,1.3294250922335493e-08,1.813875111646498e-09,1.3736480619641611e-08,0.53125,0.6339285714285714,0.46875,0.36607142857142855,True,False,not_strictly_invertible_from_diagonal
sample_000012,1.2027956811333657e-09,8.391200123636366e-09,1.9722677175045157e-09,1.1573658253993813e-08,0.08310798968226253,1.2140677153613346,0.01235451663281703,0.4301357870501266,1.2027956811333657e-09,8.391200123636366e-09,1.9722677175045157e-09,1.1573658253993813e-08,0.39732142857142855,0.07589285714285714,0.6026785714285714,0.9241071428571429,True,False,not_strictly_invertible_from_diagonal
sample_000013,1.921566410531179e-09,1.2976100305372995e-08,2.315504053362163e-09,1.0577602460593027e-08,0.2364728451435438,1.1483795867052962,0.025111853734553814,0.6824353907236744,1.921566410531179e-09,1.2976100305372995e-08,2.315504053362163e-09,1.0577602460593027e-08,0.6205357142857143,0.13839285714285715,0.3794642857142857,0.8616071428571429,True,False,not_strictly_invertible_from_diagonal
sample_000014,1.7952284968984544e-09,1.3137686272202131e-08,1.83204477043621e-09,1.4611331589087229e-08,0.15635056255099006,1.2338322840182274,0.016827275818528935,0.7706234510656871,1.7952284968984544e-09,1.3137686272202131e-08,1.83204477043621e-09,1.4611331589087229e-08,0.33482142857142855,0.044642857142857144,0.6651785714285714,0.9553571428571429,True,False,not_strictly_invertible_from_diagonal
sample_000015,1.917675983070452e-09,1.229569479566095e-08,1.4498480232531983e-09,1.3920852470761247e-08,0.08652838195741845,1.0972242448043128,0.1846632985026768,1.409548846222179,1.917675983070452e-09,1.229569479566095e-08,1.4498480232531983e-09,1.3920852470761247e-08,0.19196428571428573,0.38839285714285715,0.8080357142857143,0.6116071428571429,True,False,not_strictly_invertible_from_diagonal
sample_000016,3.5888495909666074e-09,1.9062953438009345e-08,8.971951497992403e-10,8.271751728017307e-09,0.6379640103427818,1.7192268484659625,0.08393170068260666,0.5352606254304213,3.5888495909666074e-09,1.9062953438009345e-08,8.971951497992403e-10,8.271751728017307e-09,0.7544642857142857,0.53125,0.24553571428571427,0.46875,True,False,not_strictly_invertible_from_diagonal
sample_000017,2.1291365047495343e-09,1.5485842053131194e-08,2.168991627886605e-09,1.249203240849539e-08,0.07554056892821466,1.4198517683620109,0.11357367255519983,1.2232442740438612,2.1291365047495343e-09,1.5485842053131194e-08,2.168991627886605e-09,1.249203240849539e-08,0.32589285714285715,0.2544642857142857,0.6741071428571429,0.7455357142857143,True,False,not_strictly_invertible_from_diagonal
