sample_id,vehicle_id
sample_000000,car6
sample_000001,car13
sample_000002,car18
sample_000003,car19
sample_000004,car20
sample_000006,car22
sample_000007,car23
sample_000008,car31
sample_000009,car32
sample_000010,car33
sample_000011,car35
sample_000012,car37
sample_000014,car42
sample_000015,car43
sample_000016,car45
sample_000017,car47
sample_000018,car51
sample_000019,car61
sample_000020,car74
sample_000021,car80
sample_000022,car82
sample_000023,car84
sample_000024,car85
sample_000025,car99
sample_000026,car102
sample_000027,car103
sample_000028,car104
sample_000029,car106
sample_000030,car107
sample_000031,car111
sample_000032,car121
sample_000033,car122
sample_000034,car129
sample_000035,car130
sample_000036,car134
sample_000038,car145
sample_000039,car146
sample_000040,car148
sample_000043,car158
sample_000044,car159
sample_000045,car163
sample_000046,car164
sample_000047,car166
sample_000048,car173
sample_000050,car178
sample_000051,car179
sample_000053,car188
sample_000055,car197
sample_000056,car200
sample_000057,car204
sample_000060,car211
sample_000061,car216
sample_000062,car217
sample_000064,car220
sample_000066,car223
sample_000067,car224
sample_000068,car225
sample_000069,car229
sample_000070,car235
sample_000071,car236
sample_000072,car237
sample_000073,car240
sample_000074,car245
sample_000075,car246
sample_000077,car250
sample_000078,car251
sample_000079,car252
sample_000080,car270
sample_000082,car278
sample_000083,car289
sample_000084,car290
sample_000086,car302
sample_000087,car303
sample_000088,car305
sample_000090,car307
sample_000091,car310
sample_000092,car313
sample_000094,car318
sample_000096,car322
sample_000097,car324
sample_000098,car325
sample_000099,car329
sample_000100,car334
sample_000101,car336
sample_000102,car337
sample_000103,car341
sample_000104,car364
sample_000106,car368
sample_000107,car377
sample_000108,car379
sample_000109,car384
sample_000110,car386
sample_000111,car389
sample_000112,car397
sample_000113,car399
sample_000115,car408
sample_000116,car412
sample_000117,car416
sample_000119,car420
sample_000120,car425
sample_000121,car427
sample_000122,car435
sample_000123,car437
sample_000125,car442
sample_000126,car447
sample_000127,car456
sample_000128,car461
sample_000129,car468
sample_000130,car471
sample_000131,car472
sample_000132,car478
sample_000133,car479
sample_000134,car483
sample_000135,car485
sample_000136,car488
sample_000138,car491
sample_000139,car494
sample_000140,car499
sample_000141,car502
sample_000142,car508
sample_000143,car513
sample_000144,car514
sample_000146,car516
sample_000147,car519
sample_000148,car521
sample_000150,car529
sample_000151,car532
sample_000152,car537
sample_000153,car539
sample_000154,car543
sample_000156,car548
sample_000157,car549
sample_000158,car550
sample_000163,car568
sample_000164,car571
sample_000165,car572
sample_000166,car576
sample_000168,car580
sample_000169,car581
sample_000170,car582
sample_000171,car583
sample_000172,car587
sample_000173,car596
sample_000174,car597
sample_000175,car598
sample_000176,car599
sample_000177,car618
sample_000178,car622
sample_000179,car632
sample_000180,car639
sample_000181,car641
sample_000184,car647
sample_000185,car652
sample_000186,car654
sample_000187,car656
sample_000189,car664
sample_000191,car667
sample_000192,car669
sample_000193,car674
sample_000194,car678
sample_000195,car679
sample_000196,car680
sample_000197,car684
sample_000198,car685
sample_000199,car687
sample_000200,car688
sample_000201,car698
sample_000202,car700
sample_000203,car701
sample_000204,car705
sample_000206,car708
sample_000207,car712
sample_000208,car715
sample_000209,car720
sample_000210,car722
sample_000212,car731
sample_000213,car736
sample_000214,car746
sample_000215,car747
sample_000216,car749
sample_000217,car750
sample_000218,car757
sample_000219,car762
sample_000220,car776
sample_000221,car777
sample_000222,car778
sample_000223,car779
sample_000224,car780
sample_000225,car781
sample_000226,car786
sample_000228,car792
sample_000229,car797
sample_000230,car798
sample_000231,car800
sample_000232,car808
sample_000233,car809
sample_000234,car814
sample_000235,car815
sample_000236,car816
sample_000237,car824
sample_000238,car825
sample_000239,car826
sample_000240,car829
sample_000241,car833
sample_000242,car837
sample_000243,car848
sample_000244,car850
sample_000245,car851
sample_000246,car859
sample_000248,car862
sample_000249,car867
sample_000250,car868
sample_000252,car870
sample_000253,car872
sample_000254,car875
sample_000255,car878
sample_000256,car882
sample_000257,car886
sample_000258,car887
sample_000259,car891
sample_000260,car897
sample_000262,car907
sample_000263,car910
sample_000265,car916
sample_000266,car919
sample_000267,car922
sample_000268,car924
sample_000269,car928
sample_000272,car938
sample_000273,car939
sample_000274,car940
sample_000276,car945
sample_000278,car952
sample_000280,car956
sample_000281,car965
sample_000282,car966
sample_000283,car973
sample_000284,car974
sample_000285,car975
sample_000288,car985
sample_000289,car988
sample_000291,car993
sample_000292,car994
sample_000293,car998
sample_000296,car1005
sample_000297,car1012
sample_000298,car1013
sample_000299,car1014
sample_000300,car1019
sample_000302,car1023
sample_000303,car1025
sample_000304,car1028
