sample_id,source_sample_id,vehicle_id,source_absolute_path,original_length,target_length,regularization_method,long_mode,window_index,window_start_index,window_end_index,label_absolute_path,label_delta_displacement_path,start_path,max_reconstruction_error,coordinate_type,valid_or_skipped,skip_reason
sample_000000,sample_000000,veh0,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000000.npy,269,224,truncate_first_224,truncate,0,0,224,labels_absolute/sample_000000.npy,labels_delta_displacement/sample_000000.npy,starts/sample_000000.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000001,sample_000001,veh1,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000001.npy,127,224,bounce_reflect_padding,truncate,0,0,127,labels_absolute/sample_000001.npy,labels_delta_displacement/sample_000001.npy,starts/sample_000001.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000002,sample_000002,veh10,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000002.npy,185,224,bounce_reflect_padding,truncate,0,0,185,labels_absolute/sample_000002.npy,labels_delta_displacement/sample_000002.npy,starts/sample_000002.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000003,sample_000003,veh100,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000003.npy,167,224,bounce_reflect_padding,truncate,0,0,167,labels_absolute/sample_000003.npy,labels_delta_displacement/sample_000003.npy,starts/sample_000003.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000004,sample_000004,veh1000,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000004.npy,213,224,bounce_reflect_padding,truncate,0,0,213,labels_absolute/sample_000004.npy,labels_delta_displacement/sample_000004.npy,starts/sample_000004.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000005,sample_000005,veh10000,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000005.npy,323,224,truncate_first_224,truncate,0,0,224,labels_absolute/sample_000005.npy,labels_delta_displacement/sample_000005.npy,starts/sample_000005.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000006,sample_000006,veh10001,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000006.npy,173,224,bounce_reflect_padding,truncate,0,0,173,labels_absolute/sample_000006.npy,labels_delta_displacement/sample_000006.npy,starts/sample_000006.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000007,sample_000007,veh10002,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000007.npy,88,224,bounce_reflect_padding,truncate,0,0,88,labels_absolute/sample_000007.npy,labels_delta_displacement/sample_000007.npy,starts/sample_000007.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000008,sample_000008,veh10003,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000008.npy,100,224,bounce_reflect_padding,truncate,0,0,100,labels_absolute/sample_000008.npy,labels_delta_displacement/sample_000008.npy,starts/sample_000008.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000009,sample_000009,veh10004,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000009.npy,190,224,bounce_reflect_padding,truncate,0,0,190,labels_absolute/sample_000009.npy,labels_delta_displacement/sample_000009.npy,starts/sample_000009.npy,9.094947017729282e-13,delta_displacement_xy_regularized_224,valid,
sample_000010,sample_000010,veh10005,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000010.npy,175,224,bounce_reflect_padding,truncate,0,0,175,labels_absolute/sample_000010.npy,labels_delta_displacement/sample_000010.npy,starts/sample_000010.npy,2.2737367544323206e-13,delta_displacement_xy_regularized_224,valid,
sample_000011,sample_000011,veh10006,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000011.npy,232,224,truncate_first_224,truncate,0,0,224,labels_absolute/sample_000011.npy,labels_delta_displacement/sample_000011.npy,starts/sample_000011.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000012,sample_000012,veh10007,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000012.npy,217,224,bounce_reflect_padding,truncate,0,0,217,labels_absolute/sample_000012.npy,labels_delta_displacement/sample_000012.npy,starts/sample_000012.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000013,sample_000013,veh10008,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000013.npy,28,224,bounce_reflect_padding,truncate,0,0,28,labels_absolute/sample_000013.npy,labels_delta_displacement/sample_000013.npy,starts/sample_000013.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000014,sample_000014,veh10009,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000014.npy,268,224,truncate_first_224,truncate,0,0,224,labels_absolute/sample_000014.npy,labels_delta_displacement/sample_000014.npy,starts/sample_000014.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000015,sample_000015,veh1001,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000015.npy,164,224,bounce_reflect_padding,truncate,0,0,164,labels_absolute/sample_000015.npy,labels_delta_displacement/sample_000015.npy,starts/sample_000015.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000016,sample_000016,veh10010,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000016.npy,281,224,truncate_first_224,truncate,0,0,224,labels_absolute/sample_000016.npy,labels_delta_displacement/sample_000016.npy,starts/sample_000016.npy,2.2737367544323206e-13,delta_displacement_xy_regularized_224,valid,
sample_000017,sample_000017,veh10011,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000017.npy,189,224,bounce_reflect_padding,truncate,0,0,189,labels_absolute/sample_000017.npy,labels_delta_displacement/sample_000017.npy,starts/sample_000017.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000018,sample_000018,veh10012,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000018.npy,78,224,bounce_reflect_padding,truncate,0,0,78,labels_absolute/sample_000018.npy,labels_delta_displacement/sample_000018.npy,starts/sample_000018.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000019,sample_000019,veh10013,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000019.npy,118,224,bounce_reflect_padding,truncate,0,0,118,labels_absolute/sample_000019.npy,labels_delta_displacement/sample_000019.npy,starts/sample_000019.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000020,sample_000020,veh10014,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000020.npy,207,224,bounce_reflect_padding,truncate,0,0,207,labels_absolute/sample_000020.npy,labels_delta_displacement/sample_000020.npy,starts/sample_000020.npy,7.958078640513122e-13,delta_displacement_xy_regularized_224,valid,
sample_000021,sample_000021,veh10015,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000021.npy,141,224,bounce_reflect_padding,truncate,0,0,141,labels_absolute/sample_000021.npy,labels_delta_displacement/sample_000021.npy,starts/sample_000021.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000022,sample_000022,veh10016,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000022.npy,344,224,truncate_first_224,truncate,0,0,224,labels_absolute/sample_000022.npy,labels_delta_displacement/sample_000022.npy,starts/sample_000022.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000023,sample_000023,veh10017,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000023.npy,239,224,truncate_first_224,truncate,0,0,224,labels_absolute/sample_000023.npy,labels_delta_displacement/sample_000023.npy,starts/sample_000023.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000024,sample_000024,veh10018,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000024.npy,300,224,truncate_first_224,truncate,0,0,224,labels_absolute/sample_000024.npy,labels_delta_displacement/sample_000024.npy,starts/sample_000024.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000025,sample_000025,veh10019,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000025.npy,189,224,bounce_reflect_padding,truncate,0,0,189,labels_absolute/sample_000025.npy,labels_delta_displacement/sample_000025.npy,starts/sample_000025.npy,5.684341886080801e-13,delta_displacement_xy_regularized_224,valid,
sample_000026,sample_000026,veh1002,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000026.npy,361,224,truncate_first_224,truncate,0,0,224,labels_absolute/sample_000026.npy,labels_delta_displacement/sample_000026.npy,starts/sample_000026.npy,0.0,delta_displacement_xy_regularized_224,valid,
